 #      x        atan(x)        atan'(x)        atan'(x)        atan''(x)       atan''(x) 
       3.14           1.26            0.09            0.09           -0.06           -0.05
       3.15           1.26            0.09            0.09           -0.06           -0.05
       3.16           1.26            0.09            0.09           -0.06           -0.05
       3.17           1.27            0.09            0.09           -0.06           -0.05
       3.18           1.27            0.09            0.09           -0.06           -0.05
       3.19           1.27            0.09            0.09           -0.06           -0.05
       3.20           1.27            0.09            0.09           -0.05           -0.05
       3.21           1.27            0.09            0.09           -0.05           -0.05
       3.22           1.27            0.09            0.09           -0.05           -0.05
       3.23           1.27            0.09            0.09           -0.05           -0.05
       3.24           1.27            0.09            0.09           -0.05           -0.05
       3.25           1.27            0.09            0.09           -0.05           -0.05
       3.26           1.27            0.09            0.09           -0.05           -0.05
       3.27           1.27            0.09            0.09           -0.05           -0.05
       3.28           1.27            0.08            0.08           -0.05           -0.05
       3.29           1.28            0.08            0.08           -0.05           -0.05
       3.30           1.28            0.08            0.08           -0.05           -0.05
       3.31           1.28            0.08            0.08           -0.05           -0.05
       3.32           1.28            0.08            0.08           -0.05           -0.05
       3.33           1.28            0.08            0.08           -0.05           -0.05
       3.34           1.28            0.08            0.08           -0.05           -0.05
       3.35           1.28            0.08            0.08           -0.05           -0.04
       3.36           1.28            0.08            0.08           -0.05           -0.04
       3.37           1.28            0.08            0.08           -0.05           -0.04
       3.38           1.28            0.08            0.08           -0.05           -0.04
       3.39           1.28            0.08            0.08           -0.05           -0.04
       3.40           1.28            0.08            0.08           -0.05           -0.04
       3.41           1.29            0.08            0.08           -0.05           -0.04
       3.42           1.29            0.08            0.08           -0.05           -0.04
       3.43           1.29            0.08            0.08           -0.05           -0.04
       3.44           1.29            0.08            0.08           -0.04           -0.04
       3.45           1.29            0.08            0.08           -0.04           -0.04
       3.46           1.29            0.08            0.08           -0.04           -0.04
       3.47           1.29            0.08            0.08           -0.04           -0.04
       3.48           1.29            0.08            0.08           -0.04           -0.04
       3.49           1.29            0.08            0.08           -0.04           -0.04
       3.50           1.29            0.08            0.08           -0.04           -0.04
       3.51           1.29            0.07            0.07           -0.04           -0.04
       3.52           1.29            0.07            0.07           -0.04           -0.04
       3.53           1.29            0.07            0.07           -0.04           -0.04
       3.54           1.30            0.07            0.07           -0.04           -0.04
       3.55           1.30            0.07            0.07           -0.04           -0.04
       3.56           1.30            0.07            0.07           -0.04           -0.04
       3.57           1.30            0.07            0.07           -0.04           -0.04
       3.58           1.30            0.07            0.07           -0.04           -0.04
       3.59           1.30            0.07            0.07           -0.04           -0.04
       3.60           1.30            0.07            0.07           -0.04           -0.04
       3.61           1.30            0.07            0.07           -0.04           -0.04
       3.62           1.30            0.07            0.07           -0.04           -0.04
       3.63           1.30            0.07            0.07           -0.04           -0.04
       3.64           1.30            0.07            0.07           -0.04           -0.04
       3.65           1.30            0.07            0.07           -0.04           -0.04
       3.66           1.30            0.07            0.07           -0.04           -0.04
       3.67           1.30            0.07            0.07           -0.04           -0.03
       3.68           1.31            0.07            0.07           -0.04           -0.03
       3.69           1.31            0.07            0.07           -0.04           -0.03
       3.70           1.31            0.07            0.07           -0.04           -0.03
       3.71           1.31            0.07            0.07           -0.04           -0.03
       3.72           1.31            0.07            0.07           -0.04           -0.03
       3.73           1.31            0.07            0.07           -0.04           -0.03
       3.74           1.31            0.07            0.07           -0.04           -0.03
       3.75           1.31            0.07            0.07           -0.03           -0.03
       3.76           1.31            0.07            0.07           -0.03           -0.03
       3.77           1.31            0.07            0.07           -0.03           -0.03
       3.78           1.31            0.07            0.07           -0.03           -0.03
       3.79           1.31            0.06            0.06           -0.03           -0.03
       3.80           1.31            0.06            0.06           -0.03           -0.03
       3.81           1.31            0.06            0.06           -0.03           -0.03
       3.82           1.31            0.06            0.06           -0.03           -0.03
       3.83           1.32            0.06            0.06           -0.03           -0.03
       3.84           1.32            0.06            0.06           -0.03           -0.03
       3.85           1.32            0.06            0.06           -0.03           -0.03
       3.86           1.32            0.06            0.06           -0.03           -0.03
       3.87           1.32            0.06            0.06           -0.03           -0.03
       3.88           1.32            0.06            0.06           -0.03           -0.03
       3.89           1.32            0.06            0.06           -0.03           -0.03
       3.90           1.32            0.06            0.06           -0.03           -0.03
       3.91           1.32            0.06            0.06           -0.03           -0.03
       3.92           1.32            0.06            0.06           -0.03           -0.03
       3.93           1.32            0.06            0.06           -0.03           -0.03
       3.94           1.32            0.06            0.06           -0.03           -0.03
       3.95           1.32            0.06            0.06           -0.03           -0.03
       3.96           1.32            0.06            0.06           -0.03           -0.03
       3.97           1.32            0.06            0.06           -0.03           -0.03
       3.98           1.32            0.06            0.06           -0.03           -0.03
       3.99           1.33            0.06            0.06           -0.03           -0.03
       4.00           1.33            0.06            0.06           -0.03           -0.03
       4.01           1.33            0.06            0.06           -0.03           -0.03
       4.02           1.33            0.06            0.06           -0.03           -0.03
       4.03           1.33            0.06            0.06           -0.03           -0.03
       4.04           1.33            0.06            0.06           -0.03           -0.03
       4.05           1.33            0.06            0.06           -0.03           -0.03
       4.06           1.33            0.06            0.06           -0.03           -0.03
       4.07           1.33            0.06            0.06           -0.03           -0.03
       4.08           1.33            0.06            0.06           -0.03           -0.03
       4.09           1.33            0.06            0.06           -0.03           -0.03
       4.10           1.33            0.06            0.06           -0.03           -0.03
       4.11           1.33            0.06            0.06           -0.03           -0.03
       4.12           1.33            0.06            0.06           -0.03           -0.03
       4.13           1.33            0.06            0.06           -0.03           -0.03
       4.14           1.33            0.05            0.06           -0.03           -0.03
       4.15           1.33            0.05            0.05           -0.03           -0.02
       4.16           1.33            0.05            0.05           -0.03           -0.02
       4.17           1.34            0.05            0.05           -0.03           -0.02
       4.18           1.34            0.05            0.05           -0.03           -0.02
       4.19           1.34            0.05            0.05           -0.03           -0.02
       4.20           1.34            0.05            0.05           -0.03           -0.02
       4.21           1.34            0.05            0.05           -0.03           -0.02
       4.22           1.34            0.05            0.05           -0.02           -0.02
       4.23           1.34            0.05            0.05           -0.02           -0.02
       4.24           1.34            0.05            0.05           -0.02           -0.02
       4.25           1.34            0.05            0.05           -0.02           -0.02
       4.26           1.34            0.05            0.05           -0.02           -0.02
       4.27           1.34            0.05            0.05           -0.02           -0.02
       4.28           1.34            0.05            0.05           -0.02           -0.02
       4.29           1.34            0.05            0.05           -0.02           -0.02
       4.30           1.34            0.05            0.05           -0.02           -0.02
       4.31           1.34            0.05            0.05           -0.02           -0.02
       4.32           1.34            0.05            0.05           -0.02           -0.02
       4.33           1.34            0.05            0.05           -0.02           -0.02
       4.34           1.34            0.05            0.05           -0.02           -0.02
       4.35           1.34            0.05            0.05           -0.02           -0.02
       4.36           1.35            0.05            0.05           -0.02           -0.02
       4.37           1.35            0.05            0.05           -0.02           -0.02
       4.38           1.35            0.05            0.05           -0.02           -0.02
       4.39           1.35            0.05            0.05           -0.02           -0.02
       4.40           1.35            0.05            0.05           -0.02           -0.02
       4.41           1.35            0.05            0.05           -0.02           -0.02
       4.42           1.35            0.05            0.05           -0.02           -0.02
       4.43           1.35            0.05            0.05           -0.02           -0.02
       4.44           1.35            0.05            0.05           -0.02           -0.02
       4.45           1.35            0.05            0.05           -0.02           -0.02
       4.46           1.35            0.05            0.05           -0.02           -0.02
       4.47           1.35            0.05            0.05           -0.02           -0.02
       4.48           1.35            0.05            0.05           -0.02           -0.02
       4.49           1.35            0.05            0.05           -0.02           -0.02
       4.50           1.35            0.05            0.05           -0.02           -0.02
       4.51           1.35            0.05            0.05           -0.02           -0.02
       4.52           1.35            0.05            0.05           -0.02           -0.02
       4.53           1.35            0.05            0.05           -0.02           -0.02
       4.54           1.35            0.05            0.05           -0.02           -0.02
       4.55           1.35            0.05            0.05           -0.02           -0.02
       4.56           1.35            0.05            0.05           -0.02           -0.02
       4.57           1.36            0.05            0.05           -0.02           -0.02
       4.58           1.36            0.05            0.05           -0.02           -0.02
       4.59           1.36            0.05            0.05           -0.02           -0.02
       4.60           1.36            0.04            0.05           -0.02           -0.02
       4.61           1.36            0.04            0.04           -0.02           -0.02
       4.62           1.36            0.04            0.04           -0.02           -0.02
       4.63           1.36            0.04            0.04           -0.02           -0.02
       4.64           1.36            0.04            0.04           -0.02           -0.02
       4.65           1.36            0.04            0.04           -0.02           -0.02
       4.66           1.36            0.04            0.04           -0.02           -0.02
       4.67           1.36            0.04            0.04           -0.02           -0.02
       4.68           1.36            0.04            0.04           -0.02           -0.02
       4.69           1.36            0.04            0.04           -0.02           -0.02
       4.70           1.36            0.04            0.04           -0.02           -0.02
       4.71           1.36            0.04            0.04           -0.02           -0.02
       4.72           1.36            0.04            0.04           -0.02           -0.02
       4.73           1.36            0.04            0.04           -0.02           -0.02
       4.74           1.36            0.04            0.04           -0.02           -0.02
       4.75           1.36            0.04            0.04           -0.02           -0.02
       4.76           1.36            0.04            0.04           -0.02           -0.02
       4.77           1.36            0.04            0.04           -0.02           -0.02
       4.78           1.36            0.04            0.04           -0.02           -0.02
       4.79           1.36            0.04            0.04           -0.02           -0.02
       4.80           1.37            0.04            0.04           -0.02           -0.02
       4.81           1.37            0.04            0.04           -0.02           -0.02
       4.82           1.37            0.04            0.04           -0.02           -0.02
       4.83           1.37            0.04            0.04           -0.02           -0.02
       4.84           1.37            0.04            0.04           -0.02           -0.02
       4.85           1.37            0.04            0.04           -0.02           -0.02
       4.86           1.37            0.04            0.04           -0.02           -0.02
       4.87           1.37            0.04            0.04           -0.02           -0.02
       4.88           1.37            0.04            0.04           -0.02           -0.02
       4.89           1.37            0.04            0.04           -0.02           -0.02
       4.90           1.37            0.04            0.04           -0.02           -0.02
       4.91           1.37            0.04            0.04           -0.02           -0.02
       4.92           1.37            0.04            0.04           -0.02           -0.02
       4.93           1.37            0.04            0.04           -0.02           -0.02
       4.94           1.37            0.04            0.04           -0.02           -0.02
       4.95           1.37            0.04            0.04           -0.02           -0.02
       4.96           1.37            0.04            0.04           -0.02           -0.02
       4.97           1.37            0.04            0.04           -0.02           -0.02
       4.98           1.37            0.04            0.04           -0.02           -0.01
       4.99           1.37            0.04            0.04           -0.02           -0.01
       5.00           1.37            0.04            0.04           -0.02           -0.01
       5.01           1.37            0.04            0.04           -0.02           -0.01
       5.02           1.37            0.04            0.04           -0.02           -0.01
       5.03           1.37            0.04            0.04           -0.02           -0.01
       5.04           1.37            0.04            0.04           -0.01           -0.01
       5.05           1.38            0.04            0.04           -0.01           -0.01
       5.06           1.38            0.04            0.04           -0.01           -0.01
       5.07           1.38            0.04            0.04           -0.01           -0.01
       5.08           1.38            0.04            0.04           -0.01           -0.01
       5.09           1.38            0.04            0.04           -0.01           -0.01
       5.10           1.38            0.04            0.04           -0.01           -0.01
       5.11           1.38            0.04            0.04           -0.01           -0.01
       5.12           1.38            0.04            0.04           -0.01           -0.01
       5.13           1.38            0.04            0.04           -0.01           -0.01
       5.14           1.38            0.04            0.04           -0.01           -0.01
       5.15           1.38            0.04            0.04           -0.01           -0.01
       5.16           1.38            0.04            0.04           -0.01           -0.01
       5.17           1.38            0.04            0.04           -0.01           -0.01
       5.18           1.38            0.04            0.04           -0.01           -0.01
       5.19           1.38            0.04            0.04           -0.01           -0.01
       5.20           1.38            0.04            0.04           -0.01           -0.01
       5.21           1.38            0.04            0.04           -0.01           -0.01
       5.22           1.38            0.04            0.04           -0.01           -0.01
       5.23           1.38            0.04            0.04           -0.01           -0.01
       5.24           1.38            0.04            0.04           -0.01           -0.01
       5.25           1.38            0.03            0.03           -0.01           -0.01
       5.26           1.38            0.03            0.03           -0.01           -0.01
       5.27           1.38            0.03            0.03           -0.01           -0.01
       5.28           1.38            0.03            0.03           -0.01           -0.01
       5.29           1.38            0.03            0.03           -0.01           -0.01
       5.30           1.38            0.03            0.03           -0.01           -0.01
       5.31           1.38            0.03            0.03           -0.01           -0.01
       5.32           1.38            0.03            0.03           -0.01           -0.01
       5.33           1.39            0.03            0.03           -0.01           -0.01
       5.34           1.39            0.03            0.03           -0.01           -0.01
       5.35           1.39            0.03            0.03           -0.01           -0.01
       5.36           1.39            0.03            0.03           -0.01           -0.01
       5.37           1.39            0.03            0.03           -0.01           -0.01
       5.38           1.39            0.03            0.03           -0.01           -0.01
       5.39           1.39            0.03            0.03           -0.01           -0.01
       5.40           1.39            0.03            0.03           -0.01           -0.01
       5.41           1.39            0.03            0.03           -0.01           -0.01
       5.42           1.39            0.03            0.03           -0.01           -0.01
       5.43           1.39            0.03            0.03           -0.01           -0.01
       5.44           1.39            0.03            0.03           -0.01           -0.01
       5.45           1.39            0.03            0.03           -0.01           -0.01
       5.46           1.39            0.03            0.03           -0.01           -0.01
       5.47           1.39            0.03            0.03           -0.01           -0.01
       5.48           1.39            0.03            0.03           -0.01           -0.01
       5.49           1.39            0.03            0.03           -0.01           -0.01
       5.50           1.39            0.03            0.03           -0.01           -0.01
       5.51           1.39            0.03            0.03           -0.01           -0.01
       5.52           1.39            0.03            0.03           -0.01           -0.01
       5.53           1.39            0.03            0.03           -0.01           -0.01
       5.54           1.39            0.03            0.03           -0.01           -0.01
       5.55           1.39            0.03            0.03           -0.01           -0.01
       5.56           1.39            0.03            0.03           -0.01           -0.01
       5.57           1.39            0.03            0.03           -0.01           -0.01
       5.58           1.39            0.03            0.03           -0.01           -0.01
       5.59           1.39            0.03            0.03           -0.01           -0.01
       5.60           1.39            0.03            0.03           -0.01           -0.01
       5.61           1.39            0.03            0.03           -0.01           -0.01
       5.62           1.39            0.03            0.03           -0.01           -0.01
       5.63           1.40            0.03            0.03           -0.01           -0.01
       5.64           1.40            0.03            0.03           -0.01           -0.01
       5.65           1.40            0.03            0.03           -0.01           -0.01
       5.66           1.40            0.03            0.03           -0.01           -0.01
       5.67           1.40            0.03            0.03           -0.01           -0.01
       5.68           1.40            0.03            0.03           -0.01           -0.01
       5.69           1.40            0.03            0.03           -0.01           -0.01
       5.70           1.40            0.03            0.03           -0.01           -0.01
       5.71           1.40            0.03            0.03           -0.01           -0.01
       5.72           1.40            0.03            0.03           -0.01           -0.01
       5.73           1.40            0.03            0.03           -0.01           -0.01
       5.74           1.40            0.03            0.03           -0.01           -0.01
       5.75           1.40            0.03            0.03           -0.01           -0.01
       5.76           1.40            0.03            0.03           -0.01           -0.01
       5.77           1.40            0.03            0.03           -0.01           -0.01
       5.78           1.40            0.03            0.03           -0.01           -0.01
       5.79           1.40            0.03            0.03           -0.01           -0.01
       5.80           1.40            0.03            0.03           -0.01           -0.01
       5.81           1.40            0.03            0.03           -0.01           -0.01
       5.82           1.40            0.03            0.03           -0.01           -0.01
       5.83           1.40            0.03            0.03           -0.01           -0.01
       5.84           1.40            0.03            0.03           -0.01           -0.01
       5.85           1.40            0.03            0.03           -0.01           -0.01
       5.86           1.40            0.03            0.03           -0.01           -0.01
       5.87           1.40            0.03            0.03           -0.01           -0.01
       5.88           1.40            0.03            0.03           -0.01           -0.01
       5.89           1.40            0.03            0.03           -0.01           -0.01
       5.90           1.40            0.03            0.03           -0.01           -0.01
       5.91           1.40            0.03            0.03           -0.01           -0.01
       5.92           1.40            0.03            0.03           -0.01           -0.01
       5.93           1.40            0.03            0.03           -0.01           -0.01
       5.94           1.40            0.03            0.03           -0.01           -0.01
       5.95           1.40            0.03            0.03           -0.01           -0.01
       5.96           1.40            0.03            0.03           -0.01           -0.01
       5.97           1.40            0.03            0.03           -0.01           -0.01
       5.98           1.41            0.03            0.03           -0.01           -0.01
       5.99           1.41            0.03            0.03           -0.01           -0.01
